iteration,episode_reward_mean,episode_length_mean,total_co2,total_waiting_time,vehicle_count,num_env_steps_sampled
1,-49.47565376203813,100.0,123056.57340942412,21.4,50.6,
2,-50.845235109770506,100.0,126282.19862660719,16.5,53.2,
3,-51.61380017909558,100.0,128000.78766955179,12.9,52.4,
4,-54.223955080657355,100.0,133869.6874508002,18.2,52.7,
5,-54.499731343235496,100.0,134053.41247875165,22.4,54.9,
6,-49.52484764238136,100.0,123278.44869907577,23.1,51.8,
7,-54.21392504272857,100.0,133513.39847762516,22.8,53.2,
8,-55.2287909230444,100.0,135570.544878327,38.1,52.1,
9,-52.96881276334318,100.0,130915.48230121315,11.7,54.1,
10,-54.05344350901928,100.0,133384.43951382668,16.9,53.1,
11,-54.11892141121619,100.0,133356.27929648646,20.2,52.0,
12,-52.275020102312624,100.0,129470.72083225634,17.4,52.5,
13,-51.762335615523135,100.0,128364.19975050197,12.9,52.9,
14,-46.904802034009016,100.0,117414.01401380387,32.0,49.9,
15,-52.23020251067722,100.0,129261.23729528878,17.3,51.7,
16,-56.02483393788124,100.0,137610.30713351993,21.4,51.9,
17,-60.74982619801807,100.0,148082.84548937954,19.1,56.1,
18,-54.738648061432556,100.0,134992.78296363394,10.8,53.3,
19,-51.84163234273983,100.0,128515.8591443168,14.0,52.6,
20,-49.53134979282491,100.0,123284.89792228366,18.3,52.8,
21,-57.9735615161707,100.0,141882.81286305204,11.6,53.3,
22,-51.958367119207125,100.0,128880.38086979972,15.4,53.5,
23,-54.737532710554,100.0,134801.97107279274,15.3,56.0,
24,-52.19065333971359,100.0,129313.35024870292,21.3,53.7,
25,-57.1718148963098,100.0,140376.1537078056,9.1,53.5,
26,-52.48388591666094,100.0,129903.08930858594,10.0,50.9,
27,-51.723286025992046,100.0,127781.31177376618,24.4,53.1,
28,-49.808053503779774,100.0,123926.4617244056,14.3,50.7,
29,-49.469274304457024,100.0,123064.50794813278,20.5,52.1,
30,-53.896553901512675,100.0,132308.90705270093,59.1,53.1,
31,-54.29654024396706,100.0,133866.5433692662,16.2,53.9,
32,-50.38164087347608,100.0,125043.43365706406,17.2,51.1,
33,-51.601211873259466,100.0,127619.59143436044,31.8,51.4,
34,-45.31326330765478,100.0,113702.37239968339,15.4,52.0,
35,-54.45475664718881,100.0,134210.1353764257,21.4,51.7,
36,-49.57610316469861,100.0,123308.7943042252,16.3,50.9,
37,-52.87772185486243,100.0,130891.05806014482,13.5,52.8,
38,-51.484466284985594,100.0,127676.93457152965,7.7,52.3,
39,-51.56446667166256,100.0,127860.71320858956,16.3,52.6,
40,-47.87558967509064,100.0,119828.65321620749,16.4,51.1,
41,-52.481278592712236,100.0,129828.18414425552,20.2,51.5,
42,-46.551717925036584,100.0,116735.71599386516,13.3,50.1,
43,-51.52046983682959,100.0,127657.83135340521,14.9,53.8,
44,-46.94935045446072,100.0,117558.5660592521,21.0,51.8,
45,-52.050480749253495,100.0,128845.52226990275,15.0,52.9,
46,-47.41310047959744,100.0,118867.89944844483,9.1,52.2,
47,-52.01876350026821,100.0,128944.37282771322,16.6,51.4,
48,-47.96605985163764,100.0,119801.14249742303,25.1,49.5,
49,-51.5219304724543,100.0,127854.52165479341,11.8,53.5,
50,-54.107727696959536,100.0,133253.84882036055,32.0,56.0,
